,seedbox_name,is_file,last_update_time,downloaded
0,A.Dogs.Journey.2019.720p.BluRay.x264-x0r,0,2020-03-22 08:08:04.997486,0
1,Abducted.2020.1080p.WEB-DL.DD5.1.X264-CMRG,0,2020-03-22 08:08:04.997486,0
2,Batwoman.S01E09.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
3,Being.There.1979.720p.BluRay.x264-x0r,0,2020-03-22 08:08:04.997486,0
4,Better.Call.Saul.S05E01.1080p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
5,Better.Call.Saul.S05E01.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
6,Better.Call.Saul.S05E02.1080p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
7,Better.Call.Saul.S05E02.720p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
8,Better.Call.Saul.S05E03.1080p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
9,Better.Call.Saul.S05E03.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
10,Better.Call.Saul.S05E04.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
11,Better.Call.Saul.S05E05.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
12,Beverly Hills Cop Trilogy remastered 10bit hevc-d3g,0,2020-03-22 08:08:04.997486,0
13,Birds of Prey And the Fantabulous Emancipation of One Harley Quinn.2020.720p.HDCAM.X264-YouGotScammedSorry.mkv,1,2020-03-22 08:08:04.997486,0
14,Birds.of.Prey.And.the.Fantabulous.Emancipation.of.One.Harley.Quinn.2020.1080p.HC.HDRip.AC3.x264-CMRG,0,2020-03-22 08:08:04.997486,0
15,Birds.of.Prey.And.the.Fantabulous.Emancipation.of.One.Harley.Quinn.2020.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
16,Black.Lightning.S03E09.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
17,Black.Lightning.S03E12.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
18,Black.Lightning.S03E13.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
19,Black.Lightning.S03E14.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
20,Black.Lightning.S03E15.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
21,Black.Lightning.S03E16.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
22,Bombshell.2019.1080p.WEB-DL.DD5.1.x264-CMRG,0,2020-03-22 08:08:04.997486,0
23,Boxing.2020.02.22.Deontay.Wilder.vs.Tyson.Fury.2.PPV.720p.60fps.WEB-DL.h264-MBC,0,2020-03-22 08:08:04.997486,0
24,Brooklyn.Nine-Nine.S07E01.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
25,Brooklyn.Nine-Nine.S07E02.720p.HDTV.x264-KILLERS,0,2020-03-22 08:08:04.997486,0
26,Brooklyn.Nine-Nine.S07E03.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
27,Brooklyn.Nine-Nine.S07E04.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
28,Brooklyn.Nine-Nine.S07E05.iNTERNAL.720p.WEB.H264-AMRAP,0,2020-03-22 08:08:04.997486,0
29,Brooklyn.Nine-Nine.S07E06.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
30,Brooklyn.Nine-Nine.S07E07.720p.HDTV.x264-KILLERS,0,2020-03-22 08:08:04.997486,0
31,Brooklyn.Nine-Nine.S07E08.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
32,Casper.1995.720p.BluRay.x264-x0r,0,2020-03-22 08:08:04.997486,0
33,Charlies Angels.2019.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
34,Come.To.Daddy.2019.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
35,Criminal.Minds.S13.720p.HDTV.x264-MIXED[NO RAR],0,2020-03-22 08:08:04.997486,0
36,Criminal.Minds.S14.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb,0,2020-03-22 08:08:04.997486,0
37,DCs.Legends.of.Tomorrow.S05E03.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
38,DCs.Legends.of.Tomorrow.S05E04.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
39,DCs.Legends.of.Tomorrow.S05E05.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
40,DCs.Legends.of.Tomorrow.S05E06.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
41,DCs.Legends.of.Tomorrow.S05E07.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
42,DCs.Legends.of.Tomorrow.S05E08.iNTERNAL.720p.WEB.h264-HILLARY,0,2020-03-22 08:08:04.997486,0
43,Dog.Bites.Man.S01.DVDRip.XviD-NODLABS,0,2020-03-22 08:08:04.997486,0
44,Dolittle.2019.1080p.HDRip.X264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
45,Dolittle.2020.1080p.HDRip.X264-EVO,0,2020-03-22 08:08:04.997486,0
46,Emma.2020.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
47,Fantastic Beasts and Where to Find,0,2020-03-22 08:08:04.997486,0
48,Fantastic.Beasts.The.Crimes.of.Grindelwald.2018.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
49,Fantastic.Beasts.and.Where.to.Find.Them.2016.1080p.Bluray.X264.DTS-EVO,0,2020-03-22 08:08:04.997486,0
50,Fantastic.Beasts.and.Where.to.Find.Them.2016.BDRip.XviD.AC3-EVO,0,2020-03-22 08:08:04.997486,0
51,Fast and Furious Collection BR 10bit dts-d3g,0,2020-03-22 08:08:04.997486,0
52,Ford.v.Ferrari.2019.720p.BluRay.x264-x0r,0,2020-03-22 08:08:04.997486,0
53,Friends.COMPLETE.(1994-2004).1080p.x265.[REMASTERED+RE-ENCODED].AC3-5.1.MultiAUDIO.MultiSUB.[HQ]-HuskyPeter,0,2020-03-22 08:08:04.997486,0
54,Hawaii.Five-0.2010.S10E15.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
55,Hawaii.Five-0.2010.S10E16.720p.HDTV.x264-KILLERS,0,2020-03-22 08:08:04.997486,0
56,Hawaii.Five-0.2010.S10E19.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
57,Hawaii.Five-0.2010.S10E20.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
58,Homeland.S08E01.1080p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
59,Homeland.S08E02.1080p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
60,Homeland.S08E03.1080p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
61,Homeland.S08E04.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
62,Homeland.S08E05.REPACK.iNTERNAL.1080p.WEB.H264-GHOSTS,0,2020-03-22 08:08:04.997486,0
63,Homeland.S08E06.1080p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
64,Honey.Boy.2019.1080p.AMZN.WEB-DL.H264.DDP5.1-EVO,0,2020-03-22 08:08:04.997486,0
65,Impossible.Monsters.2019.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
66,Ip.Man.4.2019.1080p.HC.HDRip.X264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
67,Jesus.Rolls.2019.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
68,Jumanji.The.Next.Level.2019.1080p.HC.HDRip.AC3.x264-CMRG,0,2020-03-22 08:08:04.997486,0
69,Just.Mercy.2020.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
70,Listing.Impossible.S01E07.The.Flashing.Neon.Party.Pad.720p.HDTV.x264-CRiMSON,0,2020-03-22 08:08:04.997486,0
71,Little.Women.2019.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
72,Mia.Khalifa.Site.Rip.1080p.WEB-DL.AAC2.0.H264-PornLeech,0,2020-03-22 08:08:04.997486,0
73,Midway.2019.1080p.BRRip.X264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
74,Modern.Family.S11E13.720p.HDTV.x264-KILLERS,0,2020-03-22 08:08:04.997486,0
75,Modern.Family.S11E14.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
76,Modern.Family.S11E15.720p.WEB.H264-iNSiDiOUS,0,2020-03-22 08:08:04.997486,0
77,Mom.S07E09.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
78,Mom.S07E11.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
79,Mom.S07E12.720p.HDTV.x264-KILLERS,0,2020-03-22 08:08:04.997486,0
80,Mom.S07E13.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
81,Once Upon A Time In Hollywood 2019 1080p BRRip x264 DTS-HD MA 5.1-decatora27.mkv,1,2020-03-22 08:08:04.997486,0
82,Onward.2020.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
83,Rambo.Last.Blood.2019.EXTENDED.720p.BluRay.x264-SPRiNTER,0,2020-03-22 08:08:04.997486,0
84,Sonic.the.Hedgehog.2020.1080p.HDRip.X264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
85,Spenser.Confidential.2020.1080p.NF.WEB-DL.DDP5.1.X264-EVO,0,2020-03-22 08:08:04.997486,0
86,Star Wars Episode IX The Rise of Skywalker.2020.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
87,Supergirl.S05E12.720p.HDTV.x264-AVS,0,2020-03-22 08:08:04.997486,0
88,Supergirl.S05E13.720p.HDTV.x264-KILLERS,0,2020-03-22 08:08:04.997486,0
89,Supergirl.S05E14.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
90,Supergirl.S05E15.iNTERNAL.720p.WEB.h264-TRUMP,0,2020-03-22 08:08:04.997486,0
91,Superman.Red.Son.2020.1080p.WEB-DL.DD5.1.x264-CMRG,0,2020-03-22 08:08:04.997486,0
